T,A
1.75E-02,-1.805786
1.75E-02,-1.869084
1.75E-02,-1.925372
1.76E-02,-1.970456
1.76E-02,-1.998705
1.76E-02,-2.005264
1.77E-02,-1.992649
0.0177002,-1.967442
1.77E-02,-1.925053
1.78E-02,-1.848742
1.78E-02,-1.741393
1.78E-02,-1.629594
1.79E-02,-1.547872
0.0178833,-1.512916
1.79E-02,-1.505178
1.79E-02,-1.4865
1.80E-02,-1.414658
1.80E-02,-1.271485
1.80E-02,-1.069683
1.81E-02,-0.8395597
1.81E-02,-0.6195829
1.81E-02,-0.4306766
1.82E-02,-0.2873004
1.82E-02,-0.1939417
1.82E-02,-0.1478584
1.82E-02,-0.1371145
1.83E-02,-0.1488139
1.83E-02,-0.18308
1.83E-02,-0.253921
1.84E-02,-0.3773069
0.0184021,-0.5651823
1.84E-02,-0.8166273
1.85E-02,-1.114962
1.85E-02,-1.420753
1.85E-02,-1.692506
1.86E-02,-1.904891
1.86E-02,-2.053365
1.86E-02,-2.13979
1.86E-02,-2.168895
1.87E-02,-2.151161
1.87E-02,-2.098432
1.87E-02,-2.014525
1.88E-02,-1.912234
1.88E-02,-1.8112
1.88E-02,-1.728496
1.89E-02,-1.66189
1.89E-02,-1.6087
0.0189209,-1.565442
1.90E-02,-1.533295
1.90E-02,-1.515465
1.90E-02,-1.512021
1.90E-02,-1.525472
1.91E-02,-1.556764
0.019104,-1.612291
1.91E-02,-1.695786
1.92E-02,-1.808472
1.92E-02,-1.946273
1.92E-02,-2.088766
1.93E-02,-2.215262
1.93E-02,-2.316374
1.93E-02,-2.39252
1.93E-02,-2.446315
1.94E-02,-2.4798
1.94E-02,-2.490391
0.0194397,-2.474913
1.95E-02,-2.439586
1.95E-02,-2.394991
1.95E-02,-2.346248
1.96E-02,-2.309788
1.96E-02,-2.301372
0.0196228,-2.328447
1.97E-02,-2.378955
1.97E-02,-2.430694
1.97E-02,-2.469027
1.97E-02,-2.490464
1.98E-02,-2.498393
1.98E-02,-2.505667
1.98E-02,-2.514804
1.99E-02,-2.528822
1.99E-02,-2.540337
1.99E-02,-2.541558
0.0199585,-2.519086
2.00E-02,-2.471793
2.00E-02,-2.406276
2.01E-02,-2.33865
2.01E-02,-2.29172
2.01E-02,-2.279743
0.0201416,-2.297575
2.02E-02,-2.325254
2.02E-02,-2.348014
2.02E-02,-2.364815
2.03E-02,-2.37784
2.03E-02,-2.389205
2.03E-02,-2.399798
2.04E-02,-2.404541
2.04E-02,-2.402901
2.04E-02,-2.388012
2.04E-02,-2.361908
2.05E-02,-2.325977
2.05E-02,-2.275699
2.05E-02,-2.216177
2.06E-02,-2.155281
2.06E-02,-2.100337
2.06E-02,-2.048004
0.0206604,-1.993056
2.07E-02,-1.931534
2.07E-02,-1.863287
2.08E-02,-1.792743
2.08E-02,-1.726394
2.08E-02,-1.66937
2.08E-02,-1.628209
2.09E-02,-1.606196
2.09E-02,-1.601309
2.09E-02,-1.605509
2.10E-02,-1.612409
2.10E-02,-1.613654
2.10E-02,-1.60755
2.11E-02,-1.598634
2.11E-02,-1.59346
2.11E-02,-1.589743
2.11E-02,-1.585298
0.0211792,-1.582232
2.12E-02,-1.581351
2.12E-02,-1.581642
2.13E-02,-1.582461
2.13E-02,-1.572209
2.13E-02,-1.539915
0.0213623,-1.482295
2.14E-02,-1.405048
2.14E-02,-1.308837
2.15E-02,-1.197711
2.15E-02,-1.082893
2.15E-02,-0.9762661
2.15E-02,-0.8822641
2.16E-02,-0.8011283
2.16E-02,-0.7312836
2.16E-02,-0.6730511
2.17E-02,-0.6226922
0.021698,-0.5854352
2.17E-02,-0.5712549
2.18E-02,-0.5849577
2.18E-02,-0.6201521
2.18E-02,-0.6662217
2.19E-02,-0.7180563
0.0218811,-0.7785699
2.19E-02,-0.83628
2.19E-02,-0.892567
2.20E-02,-0.9570475
2.20E-02,-1.032431
2.20E-02,-1.114064
2.21E-02,-1.194744
2.21E-02,-1.2702
2.21E-02,-1.332298
2.22E-02,-1.377624
2.22E-02,-1.418827
0.0222168,-1.466979
2.22E-02,-1.512832
2.23E-02,-1.540124
2.23E-02,-1.5403
2.23E-02,-1.512608
2.24E-02,-1.466643
0.0223999,-1.410984
2.24E-02,-1.35031
2.25E-02,-1.280256
2.25E-02,-1.198681
2.25E-02,-1.117319
2.26E-02,-1.049063
2.26E-02,-0.9953127
2.26E-02,-0.9585937
2.26E-02,-0.9465663
2.27E-02,-0.962888
2.27E-02,-1.000479
0.0227356,-1.049869
2.28E-02,-1.105639
2.28E-02,-1.158113
2.28E-02,-1.199441
2.29E-02,-1.232309
2.29E-02,-1.260996
0.0229187,-1.280981
2.29E-02,-1.287114
2.30E-02,-1.282514
2.30E-02,-1.270567
2.30E-02,-1.248028
2.31E-02,-1.212848
2.31E-02,-1.169473
2.31E-02,-1.128299
2.32E-02,-1.095776
2.32E-02,-1.070691
2.32E-02,-1.049483
2.33E-02,-1.020607
2.33E-02,-0.9798108
2.33E-02,-0.9230676
2.33E-02,-0.8573168
2.34E-02,-0.7870079
2.34E-02,-0.7164256
0.0234375,-0.6512014
2.35E-02,-0.5874303
2.35E-02,-0.5197222
2.35E-02,-0.4487745
2.36E-02,-0.3814321
2.36E-02,-0.3264441
2.36E-02,-0.2910258
2.37E-02,-0.2851197
2.37E-02,-0.3025285
2.37E-02,-0.3242539
2.37E-02,-0.3359411
2.38E-02,-0.3239907
2.38E-02,-0.2837659
2.38E-02,-0.2190346
2.39E-02,-0.1409557
2.39E-02,-6.16E-02
2.39E-02,1.17E-02
0.0239563,6.98E-02
2.40E-02,0.111079
2.40E-02,0.1272898
2.40E-02,0.1157471
2.41E-02,7.93E-02
2.41E-02,2.48E-02
0.0241394,-3.78E-02
2.42E-02,-9.47E-02
2.42E-02,-0.1342027
2.42E-02,-0.1627189
2.43E-02,-0.1889918
2.43E-02,-0.213836
2.43E-02,-0.2361568
2.44E-02,-0.2517797
2.44E-02,-0.255855
2.44E-02,-0.2434848
2.44E-02,-0.21218
0.0244751,-0.1636087
2.45E-02,-9.92E-02
2.45E-02,-3.22E-02
2.46E-02,2.30E-02
2.46E-02,5.91E-02
2.46E-02,7.60E-02
