T,A
3.24E-02,-0.9830275
3.24E-02,-0.9757516
3.24E-02,-0.9703228
0.0324707,-1.002136
3.25E-02,-1.014819
3.25E-02,-1.02014
3.26E-02,-1.024589
3.26E-02,-1.007233
3.26E-02,-0.9653834
3.27E-02,-0.9154632
3.27E-02,-0.8266712
3.27E-02,-0.7435448
3.27E-02,-0.6561205
3.28E-02,-0.6006649
0.0328064,-0.5789852
3.28E-02,-0.5800051
3.29E-02,-0.6309471
3.29E-02,-0.7098885
3.29E-02,-0.8031435
3.30E-02,-0.917876
0.0329895,-1.046033
3.30E-02,-1.191972
3.31E-02,-1.345636
3.31E-02,-1.480759
3.31E-02,-1.60917
3.31E-02,-1.729115
3.32E-02,-1.793254
