T,A
2.73E-02,0.1060092
2.73E-02,0.1232169
2.73E-02,0.1405768
2.74E-02,0.1566387
2.74E-02,0.1664318
0.0274353,0.1666309
2.75E-02,0.158284
2.75E-02,0.14384
2.75E-02,0.1241849
2.76E-02,0.1041544
2.76E-02,8.72E-02
2.76E-02,7.75E-02
2.76E-02,7.52E-02
2.77E-02,7.84E-02
2.77E-02,8.54E-02
2.77E-02,9.49E-02
0.027771,0.1038175
2.78E-02,0.1094125
2.78E-02,0.1091633
2.79E-02,0.1032229
2.79E-02,9.32E-02
2.79E-02,8.27E-02
0.0279541,7.60E-02
2.80E-02,7.72E-02
2.80E-02,0.0828974
2.80E-02,9.40E-02
2.81E-02,0.107851
2.81E-02,0.1247234
2.81E-02,0.1415811
2.82E-02,0.1594309
2.82E-02,0.1751727
2.82E-02,0.1907194
2.83E-02,0.2015244
2.83E-02,0.2045484
2.83E-02,0.2050917
2.84E-02,0.2017571
2.84E-02,0.1946771
2.84E-02,0.1854789
2.84E-02,0.1762893
0.0284729,0.1711366
2.85E-02,0.1675077
2.85E-02,0.1611107
2.86E-02,0.1543487
2.86E-02,0.1467344
2.86E-02,0.1395213
2.87E-02,0.1306638
2.87E-02,0.1193879
2.87E-02,0.1098964
2.87E-02,0.1019099
2.88E-02,9.58E-02
2.88E-02,9.27E-02
2.88E-02,9.14E-02
2.89E-02,9.18E-02
2.89E-02,9.39E-02
2.89E-02,0.0995468
2.90E-02,0.1061729
0.0289917,0.1102023
2.90E-02,0.1106805
2.91E-02,0.1038938
2.91E-02,9.05E-02
2.91E-02,7.36E-02
2.91E-02,6.02E-02
0.0291748,5.57E-02
2.92E-02,6.01E-02
2.92E-02,6.98E-02
2.93E-02,8.25E-02
2.93E-02,0.0927799
2.93E-02,9.71E-02
2.94E-02,9.79E-02
2.94E-02,0.090413
2.94E-02,7.92E-02
2.94E-02,6.81E-02
2.95E-02,0.0584522
0.0295105,5.22E-02
2.95E-02,4.93E-02
2.96E-02,4.98E-02
2.96E-02,4.80E-02
2.96E-02,4.59E-02
2.97E-02,4.35E-02
0.0296936,4.02E-02
2.97E-02,3.88E-02
2.98E-02,3.96E-02
2.98E-02,4.34E-02
